State,House Seat,Priority Value,State Abbreviation,State Seat
California,51,26404774,CA,2
Texas,52,17867470,TX,2
California,53,15244803,CA,3
New York,54,13732760,NY,2
Florida,55,13364865,FL,2
California,56,10779704,CA,4
Texas,57,10315788,TX,3
Illinois,58,9096490,IL,2
Pennsylvania,59,9004938,PA,2
California,60,8349923,CA,5
Ohio,61,8180161,OH,2
New York,62,7928613,NY,3
Florida,63,7716208,FL,3
Texas,64,7294364,TX,4
Michigan,65,7008578,MI,2
Georgia,66,6878428,GA,2
California,67,6817683,CA,6
North Carolina,68,6764029,NC,2
New Jersey,69,6227844,NJ,2
California,70,5761994,CA,7
Virginia,71,5683538,VA,2
Texas,72,5650190,TX,5
New York,73,5606376,NY,4
Florida,74,5456183,FL,4
Illinois,75,5251861,IL,3
Pennsylvania,76,5199003,PA,3
California,77,4990033,CA,8
Washington,78,4775353,WA,2
Ohio,79,4722818,OH,3
Massachusetts,80,4638369,MA,2
Texas,81,4613361,TX,6
Indiana,82,4597313,IN,2
Arizona,83,4534464,AZ,2
Tennessee,84,4508110,TN,2
California,85,4400796,CA,9
New York,86,4342680,NY,5
Missouri,87,4250757,MO,2
Florida,88,4226341,FL,5
Maryland,89,4094098,MD,2
Michigan,90,4046404,MI,3
Wisconsin,91,4029257,WI,2
Georgia,92,3971262,GA,3
California,93,3936191,CA,10
North Carolina,94,3905214,NC,3
Texas,95,3899002,TX,7
Minnesota,96,3758187,MN,2
Illinois,97,3713627,IL,4
Pennsylvania,98,3676250,PA,4
New Jersey,99,3595647,NJ,3
Colorado,100,3567304,CO,2
California,101,3560419,CA,11
New York,102,3545783,NY,6
Florida,103,3450793,FL,6
Alabama,104,3396221,AL,2
Texas,105,3376634,TX,8
Ohio,106,3339537,OH,4
South Carolina,107,3285200,SC,2
Virginia,108,3281392,VA,3
California,109,3250203,CA,12
Louisiana,110,3220137,LA,2
Kentucky,111,3076343,KY,2
New York,112,2996734,NY,7
California,113,2989752,CA,13
Texas,114,2977912,TX,9
Florida,115,2916453,FL,7
Illinois,116,2876563,IL,5
Michigan,117,2861240,MI,4
Pennsylvania,118,2847611,PA,5
Georgia,119,2808106,GA,4
California,120,2767972,CA,14
North Carolina,121,2761403,NC,4
Washington,122,2757051,WA,3
Oregon,123,2721375,OR,2
Massachusetts,124,2677963,MA,3
Texas,125,2663525,TX,10
Oklahoma,126,2662174,OK,2
Indiana,127,2654260,IN,3
Arizona,128,2617974,AZ,3
Tennessee,129,2602759,TN,3
New York,130,2595248,NY,8
Ohio,131,2586794,OH,5
California,132,2576842,CA,15
New Jersey,133,2542507,NJ,4
Connecticut,134,2532593,CT,2
Florida,135,2525722,FL,8
Missouri,136,2454176,MO,3
California,137,2410415,CA,16
Texas,138,2409249,TX,11
Maryland,139,2363729,MD,3
Illinois,140,2348704,IL,6
Wisconsin,141,2326293,WI,3
Pennsylvania,142,2325065,PA,6
Virginia,143,2320295,VA,4
New York,144,2288793,NY,9
California,145,2264191,CA,17
Florida,146,2227477,FL,9
Michigan,147,2216307,MI,5
Texas,148,2199333,TX,12
Georgia,149,2175150,GA,5
Minnesota,150,2169790,MN,3
Iowa,151,2159353,IA,2
North Carolina,152,2138974,NC,5
California,153,2134699,CA,18
Ohio,154,2112109,OH,6
Mississippi,155,2105934,MS,2
Arkansas,156,2069156,AR,2
Colorado,157,2059584,CO,3
New York,158,2047159,NY,10
Kansas,159,2025022,KS,2
Texas,160,2023093,TX,13
California,161,2019224,CA,19
Florida,162,1992316,FL,10
Illinois,163,1985017,IL,7
New Jersey,164,1969417,NJ,5
Pennsylvania,165,1965039,PA,7
Alabama,166,1960809,AL,3
Utah,167,1959227,UT,2
Washington,168,1949530,WA,4
Nevada,169,1915858,NV,2
California,170,1915604,CA,20
South Carolina,171,1896711,SC,3
Massachusetts,172,1893606,MA,4
Indiana,173,1876845,IN,4
